CUNumber,CUName,City,State,URL
1367,UNIVERSITY,AUSTIN,TX,http://www.ufcu.org
1397,EDISTO,ORANGEBURG,SC,https://www.edistofederalcu.org
1399,PITNEY BOWES EMPLOYEES,Shelton,CT,http://www.pbefcu.net
1401,HEREFORD TEXAS,Hereford,TX,http://www.htfcu.com
1404,NASSAU FINANCIAL,East Meadow,NY,http://www.nassaufinancial.org
1407,DEMOCRACY,Alexandria,VA,http://www.democracyfcu.org
1409,RAIZ,EL PASO,TX,http://www.raiz.us
1410,MIDSOUTH COMMUNITY,Macon,GA,http://www.midsouthfcu.org
1427,MIDWEST AMERICA,Fort Wayne,IN,https://www.mwafcu.org
1438,LONG BEACH CITY EMPLOYEES,Signal Hill,CA,https://www.lbcefcu.org
1454,MERCK EMPLOYEES,RAHWAY,NJ,http://WWW.MERCKCU.COM
1457,FINANS,HAMMOND,IN,http://www.finansfcu.org
1461,LEOMINSTER EMPLOYEES,LEOMINSTER,MA,HTTP://WWW.LEOMEFCU.ORG
1463,APPALACHIAN POWER EMPLOYEES,HUNTINGTON,WV,http://www.appalachianpowerefcu.vir
1472,PALMETTO CITIZENS,COLUMBIA,SC,http://www.palmettocitizens.org
1476,ERIE,Erie,PA,http://www.eriefcu.org
1493,F & A,MONTEREY PARK,CA,http://WWW.FAFCU.ORG
1499,PUEBLO GOVERNMENT AGENCIES,Pueblo,CO,http://www.pgafcu.org
1509,ALCOA TENN,Alcoa,TN,https://www.atfcu.com
1520,TENNESSEE VALLEY,Chattanooga,TN,http://www.tvfcu.com
1542,GNC COMMUNITY,New Castle,PA,http://www.gncfcu.com
1546,MERCER COUNTY IMPROVEMENT AUTHORITY,HAMILTON,NJ,
1558,KERR COUNTY,Kerrville,TX,https://www.kerrcountyfcu.com
1584,MEMBERS TRUST OF THE SOUTHWEST,HOUSTON,TX,https://www.mtfcu.coop
1599,MCDONALD COMMUNITY,MC DONALD,OH,
1601,U S PIPE BESSEMER EMPLOYEES,Bessemer,AL,
1607,BIG ISLAND,HILO,HI,https://www.bigislandfcu.com
1621,HOMETOWN,PERU,IN,http://www.hometownfcu.org
1644,CORNING,Corning,NY,http://www.corningcu.org
1646,CLAIRTON WORKS,Clairton,PA,http://www.clairtonworksfcu.com
1658,WHEATLAND,LANCASTER,PA,http://www.wheatlandcu.com
1660,EATON EMPLOYEES,Denver,CO,
1665,NEW ORLEANS PUBLIC BELT RAILROAD,METAIRIE,LA,
1669,SARCO,BETHLEHEM,PA,http://sarcofcu.org
1682,LIBERTY,Evansville,IN,https://www.Libertyfcu.org
1717,HAWAIIAN FINANCIAL,Honolulu,HI,http://www.hificu.com
1718,HAWAII STATE,Honolulu,HI,https://www.hawaiistatefcu.com
1719,HAWAII COMMUNITY,Kailua Kona,HI,http://www.hicommfcu.com
1725,MONROE TELCO,West Monroe,LA,http://www.monroetelcofcu.org
1726,BATON ROUGE TELCO,Baton Rouge,LA,https://www.brtelco.org
1729,ENFIELD COMMUNITY,ENFIELD,CT,http://www.enfieldcommunityfcu.org
1733,HICKAM,Pearl City,HI,https://www.hickamfcu.org
1739,MILE HIGH,BUTTE,MT,http://www.milehighfcu.org
1750,COSDEN,BIG SPRING,TX,http://www.cosden.org
1759,INSPIRE,Newtown,PA,https://www.inspirefcu.org
1784,HAWAII COUNTY EMPLOYEES,Hilo,HI,http://www.hawaiicountyfcu.com
1785,HAWAII SCHOOLS,Honolulu,HI,http://www.hawaiischoolsfcu.org
1788,NORDSTROM,Everett,WA,http://www.nordcu.org
1792,EVOLVE,EL PASO,TX,http://WWW.evolveFCU.ORG
1810,ROME,Rome,NY,https://www.romefcu.com/
1815,HAWAIIUSA,Honolulu,HI,http://www.hawaiiusafcu.com
1817,MAUI TEACHERS,Wailuku,HI,http://www.mauiteachersfcu.com
1821,DISTRICT OF COLUMBIA TEACHERS,Washington,DC,http://www.dctfcu.org
1827,MINT VALLEY,LONGVIEW,WA,http://www.mintvalleyfcu.org
1829,HFS,HILO,HI,https://WWW.HFSFCU.ORG
1830,HONOLULU,Honolulu,HI,http://www.myhocu.com
1838,FORT BAYARD,SILVER CITY,NM,http://fortbayardfcu.org
1845,ALOHA PACIFIC,Honolulu,HI,https://www.alohapacific.com
1851,UTILITY EMPLOYEES,HOQUIAM,WA,http://uefcuonline.com
1866,MAUI COUNTY,Wailuku,HI,http://www.mauicountyfcu.org
1869,HAWAIIAN ELECTRIC EMPLOYEES,HONOLULU,HI,http://www.hecoefcu.org
1870,HAWAII LAW ENFORCEMENT,Honolulu,HI,http://www.hlefcu.com
1879,TEXAS COMMUNITY,KINGSVILLE,TX,https://www.texasfcu.org
1880,HONOLULU FIRE DEPARTMENT,Honolulu,HI,http://www.hfdfcu.org
1882,TITAN,PLEASANT GAP,PA,http://www.titanfcu.com
1888,ASPIRE COMMUNITY,MINOT,ND,https://www.aspire.creditunion
1904,UNIVERSITY,Grand Forks,ND,http://www.universityfederalcu.org
1909,SANTA BARBARA TEACHERS,Santa Barbara,CA,http://www.sbtfcu.org
1911,MON VALLEY COMMUNITY,ALLENPORT,PA,http://www.mvcfcu.com
1941,SHELL,Deer Park,TX,http://www.shellfcu.org
1961,PEARL HAWAII,WAIPAHU,HI,http://www.pearlhawaii.com
1969,EDUCATION PERSONNEL,Danville,IL,http://www.educationpersonnelfcu.co
1982,CENTRIC,West Monroe,LA,http://www.mycentric.org
1987,EWA,Ewa Beach,HI,http://www.ewafcu.com
1992,MCKEESPORT CONGREGATIONAL,McKeesport,PA,
1999,LOGIX,Valencia,CA,http://www.logixbanking.com
2003,MCKEESPORT AREA PUBLIC SCHOOL EMP,MCKEESPORT,PA,
2008,REMINGTON,Ilion,NY,http://remingtonfcu.com
2021,TEANECK,TEANECK,NJ,http://TEANECKFCU.COM
2024,LA FINANCIAL,Arcadia,CA,https://www.lafinancial.org
2046,PAMPA TEACHERS,Pampa,TX,http://www.ptfcu-tx.com
2049,WAIALUA,Waialua,HI,http://www.waialuafcu.com
2051,LA PORTE COMMUNITY,LA PORTE,IN,http://www.laportecfcu.com
2056,SEWERAGE & WATER BOARD EMPLOYEES,New Orleans,LA,http://www.swbfcu.com
2065,LOWELL MUNICIPAL EMPLOYEES,Lowell,MA,http://www.lmefcu.net
2068,SOUTHERN TEACHERS & PARENTS,BATON ROUGE,LA,http://www.stpfcu.com
2098,ALIQUIPPA TEACHERS,Aliquippa,PA,
2099,CITADEL,EXTON,PA,http://www.citadelbanking.com
2112,WICHITA FALLS TEACHERS,Wichita Falls,TX,http://www.wftfcu.com
2115,ONE SOURCE,EL PASO,TX,http://www.onesourcefcu.org
2127,WEST HUDSON TEACHERS,North Arlington,NJ,
2131,PRIMEWAY,Houston,TX,https://www.primewayfcu.com
2141,CAMPBELL,Maple Shade,NJ,http://www.campbellcu.org
2155,HOBOKEN SCHOOL EMPLOYEES,HOBOKEN,NJ,http://WWW.HSEFCU.COOP
2157,TUCSON,TUCSON,AZ,http://www.tucsonfcu.com
2158,NATURAL RESOURCES CONSERVATION SERV,Fort Worth,TX,http://www.nrcscreditunion.org
2168,MANVILLE AREA,MANVILLE,NJ,http://www.manville.org
2182,GREATER ALLIANCE,Paramus,NJ,http://www.greateralliance.org
2187,DEXSTA,Wilmington,DE,http://www.dexsta.com
2191,FIBRE,LONGVIEW,WA,http://www.fibrecu.com
2208,UTICA POLICE DEPARTMENT,UTICA,NY,
2209,BUFFALO METROPOLITAN,BUFFALO,NY,http://www.bflometrocu.org
2226,SUNWEST,Glendale,AZ,http://www.mysunwest.com
2227,EMPORIA STATE,EMPORIA,KS,https://www.esfcu.com
2237,CALCOE,YAKIMA,WA,http://www.calcoefcu.com
2246,PARLIN DUPONT EMPLOYEES,Sayreville,NJ,http://WWW.PARLINDUPONTEFCU.COM
2252,UTICA GAS & ELECTRIC EMP,NEW HARTFORD,NY,https://www.ugefcu.com
2260,UNION PACIFIC STREAMLINER,OMAHA,NE,https://www.upcu.org
2263,FIRST NRV,Radford,VA,http://www.firstnrvcreditunion.com
2275,KAHUKU,Kahuku,HI,http://WWW.KAHUKUFCU.COM
2280,HAMAKUA,Pepeekeo,HI,https://www.hamakuafcu.org
2285,ADVANCIAL,Dallas,TX,http://www.Advancial.org
2299,GSA,Washington,DC,http://www.gsafcu.gsa.gov
2301,WINTHROP AREA,WINTHROP,ME,http://WWW.WINTHROPCREDITUNION.ORG
2322,TEXASGULF,Wharton,TX,http://www.texasgulffcu.org
2346,EDUCATIONAL AND GOVERNMENTAL,Hartsdale,NY,http://www.egefcu.com
2348,GAF LINDEN EMPLOYEES,Parsippany,NJ,http://www.gafcreditunion.org
2357,HOUSTON POLICE,Houston,TX,http://www.hpcu.coop
2370,METROPOLITAN \L\,Oak Park,IL,http://www.metlfcu.com
2374,HONEYWELL PHILADELPHIA DIV,Ft Washington,PA,http://www.honeywellfcu.com
2384,UNIVERSITY OF NEBRASKA,Lincoln,NE,http://www.nufcu.org
2394,NEW BRUNSWICK POSTAL,Edison,NJ,http://nbpostalfcu.org
2403,HAWAII,Honolulu,HI,http://www.hawaiifcu.org
2405,G.A.P.,JOHNSTOWN,PA,http://www.gapfcu.org
2414,ROBERTS DAIRY EMPLOYEES,OMAHA,NE,http://www.robertsdairyefcu.org
2440,FIRST NEW YORK,Albany,NY,http://www.firstnewyork.org
2441,AMOCO,TEXAS CITY,TX,https://www.amocofcu.org
2442,GULF SHORE,Texas City,TX,http://www.gulfshorefcu.org
2446,INTERNAL REVENUE,NEW ORLEANS,LA,http://www.irfcuno.com
2454,FIRST OHIO COMMUNITY,North Canton,OH,HTTP://WWW.FIRSTOHIOCFCU.ORG
2460,PRESCOTT,PRESCOTT,AZ,http://www.prescottfcu.org
2467,NORTHSIDE L,Broadview,IL,http://www.nslfcu.com
2493,JERSEY CENTRAL,CRANFORD,NJ,http://www.jerseycentralfcu.com
2495,CHICAGO AVENUE GARAGE,Chicago,IL,http://www.cagfcu.org
2498,CTA-74TH STREET DEPOT,Chicago,IL,http://www.74thstdfcu.com
2505,77TH STREET DEPOT,Chicago,IL,http://www.77thstreetdepotfcu.org
2507,OMAHA PUBLIC POWER DIST EMP,Omaha,NE,http://www.oppd-efcu.org
2508,CROSSROADS COMMUNITY,CHEEKTOWAGA,NY,http://www.crcfcu.com
2535,CANTON SCHOOL EMPLOYEES,North Canton,OH,http://www.csefcu.com
2540,ABERDEEN PROVING GROUND,EDGEWOOD,MD,https://www.apgfcu.com
2551,POLICE & FIRE,Philadelphia,PA,http://www.pffcu.org
2554,ALCOA PITTSBURGH,Pittsburgh,PA,http://www.alcoapittfcu.org
2562,MAUI,KAHULUI,HI,https://www.mauifcu.com
2574,MEMBERS 1ST OF NJ,Vineland,NJ,http://www.membersonenj.org
2577,KAUAI TEACHERS,Lihue,HI,http://www.kauaiteachersfcu.org
2583,SAINT NICHOLAS,Wilkes Barre,PA,http://www.snfcu.org
2585,RED CROWN,Tulsa,OK,http://www.redcrown.org
2612,MULTI-SCHOOLS,Wampum,PA,https://www.multischoolsfcu.org/
2617,LINDEN NJ POLICE & FIREMEN,LINDEN,NJ,
2625,PENNSYLVANIA CENTRAL,Harrisburg,PA,https://www.pacentralfcu.com
2641,BAYONNE SCHOOL EMPLOYEES,BAYONNE,NJ,
2643,LINCOLN PUBLIC SCHOOL EMPLOYEES,Lincoln,NE,http://www.lpscu.com
2644,MAINE FAMILY,Lewiston,ME,http://www.mainefamilyfcu.com
2645,OXFORD,MEXICO,ME,http://www.ofcu.org
2657,WYOMING VALLEY EDUCATIONAL EMPL,Wilkes Barre,PA,http://www.wveefcu.com
2658,FIRST SOURCE,New Hartford,NY,http://www.fsource.org
2682,SOUTH SHOP,ALSIP,IL,http://www.southshopfcu.org
2705,HELCO,HILO,HI,http://www.helcofcu.org
2709,NORTHEAST FAMILY,MANCHESTER,CT,http://www.nefamily.coop
2711,PROFINANCE,Merrillville,IN,http://www.profinancefcu.com
2713,MCBRYDE,Eleele,HI,http://www.mcbrydefcu.org
2730,INROADS,Saint Helens,OR,http://www.inroadscu.org
2740,USX,Cranberry Twp,PA,http://www.usxfcu.org
