,CHARTER,city,url,state,name,charter_id
211,0,Edgerton,,OH,The Edgerton State Bank Company,10263
212,0,Strasburg,,OH,The Citizens-State Bank of Strasburg,10265
213,0,Beverly,www.thecitizens.com,OH,The Citizens Bank Company,10266
214,0,Bucyrus,,OH,The Farmers Citizens Bank,10267
215,0,Chillicothe,,OH,The Huntington Bank of Chillicothe,10269
216,0,Blytheville,www.fbtbly.com,AR,Farmers Bank and Trust Company,1027
217,0,Elmore,,OH,The Bank of Elmore Company,10270
218,15861,Felicity,,OH,Citizensbank National Associaton,10271
219,0,Fort Recovery,,OH,The Peoples Bank Company,10272
220,0,Pioneer,,OH,The Pioneer Banking Company,10274
221,22582,Toledo,,OH,"National City Bank, Northwest",10276
222,0,Willard,,OH,The Willard United Bank,10277
223,0,Alexandria,,OH,The Huntington State Bank,10278
224,0,Ashville,,OH,The Ashville Bank,10279
225,0,Fordyce,www.fbtbank.com,AR,FBT Bank & Mortgage,1028
226,0,Caldwell,www.thefarmersmerchants.bank,OH,The Farmers and Merchants Bank,10280
227,0,Mansfield,,OH,"Bank One, Mansfield",10283
228,0,Medina,,OH,AmeriTrust Company of Medina County,10284
229,0,Youngstown,,OH,Society Bank of Eastern Ohio,10286
230,0,Dover,,OH,The Reeves Banking and Trust Company,10288
231,0,Indiana,,PA,"Farmers' Bank & Trust Company of Indiana, Pa.",10293
232,0,West Hazleton,,PA,"The Miners Bank and Trust Company of West Hazleton, Pa.",10298
233,0,Lavaca,,AR,River Valley Bank and Trust,103
234,0,West Pittston,,PA,West Side Bank,10300
235,0,Blountville,,TN,Tri-City Bank and Trust Company,10302
236,0,Ducktown,,TN,The Home Bank,10303
237,0,Gates,,TN,Gates Banking and Trust Company,10306
238,0,Chattanooga,www.builtwell.bank,TN,Builtwell Bank,10307
239,0,Piperton,www.thebank1905.com,TN,The Bank of Fayette County,10308
240,0,Humboldt,,TN,Union Planters Bank of West Tennessee,10309
241,0,Huntingdon,,TN,Bank of Huntingdon,10310
242,22567,Nashville,,TN,"NationsBank of Tennessee, National Association",10313
243,0,Halls,www.bankofhalls.com,TN,Bank of Halls,10315
244,0,Medina,,TN,Medina Banking Co.,10316
245,0,Rutledge,www.cbtgrainger.com,TN,Citizens Bank and Trust Company of Grainger County,10317
246,0,Sevierville,,TN,Sevier County Bank,10318
247,0,Nashville,www.bankcbn.com,TN,Citizens Savings Bank and Trust Company,10319
248,16009,Little Rock,,AR,Boatmen's National Bank of Arkansas,1032
249,0,Oakland,,TN,Oakland Deposit Bank,10320
250,18103,Sevierville,,TN,Third National Bank in Sevier County,10322
251,0,Murfreesboro,,TN,Mid-South Bank & Trust Company,10324
252,0,White Bluff,,TN,Farmers & Merchants Bank,10325
253,0,Alice,,TX,"Norwest Bank Texas, Alice",10326
254,0,Luling,www.csbsa.com,TX,Citizens State Bank of Luling,10327
255,16272,Russellville,,AR,First National Bank of Russellville,1033
256,0,Palmer,www.csbpalmer.com,TX,Commercial State Bank,10330
257,0,Willis,,TX,Citadel Bank,10331
258,0,Bishop,,TX,The First State Bank,10333
259,0,Dallas,,TX,Oakwood Bank,10334
260,0,Rosenberg,,TX,Rosenberg Bank and Trust,10335
261,22583,New Waverly,,TX,"Citizens Bank of Texas, National Association",10336
262,18780,Russellville,,AR,Boatmen's National Bank of Russellville,1034
263,0,Schertz,www.schertzbank.com,TX,Schertz Bank & Trust,10344
264,0,Shepherd,www.psbtexas.com,TX,Peoples State Bank,10345
265,0,La Grange,,TX,State Bank,10346
266,0,Taft,,TX,The First State Bank of Taft,10347
267,0,Denton,,TX,First State Bank of Texas,10348
268,0,La Vernia,,TX,The State Bank of La Vernia,10349
269,24553,Waldron,,AR,First National Bank,1035
270,0,Bay City,,TX,Bay City Bank & Trust Co.,10350
271,0,Crowell,crowellstatebank.com,TX,Crowell State Bank,10352
272,0,Ladonia,,TX,Farmers & Merchants State Bank,10354
273,0,Hearne,,TX,Planters & Merchants State Bank,10355
274,0,Celina,,TX,The First State Bank,10356
275,0,Humble,,TX,First City Bank of Humble,10357
276,0,Happy,,TX,Happy State Bank,10359
277,0,Breese,,IL,State Bank of Breese,1036
278,0,Dallas,,TX,First State Bank of North Texas,10360
279,0,Alamo,,TX,Alamo Bank of Texas,10361
280,0,Onley,,VA,Farmers & Merchants Bank - Eastern Shore,10362
281,0,West Point,www.cffc.com,VA,Citizens and Farmers Bank,10363
282,15492,Bluefield,,VA,Southwest Virginia National Bank,10367
283,0,Mathews,,VA,Farmers Bank of Mathews,10369
284,0,Chester,,IL,First Bank,1037
285,0,Rocky Mount,,VA,Bankers Trust Company,10370
286,0,Eastville,,VA,The Eastville Bank,10371
287,0,Exmore,,VA,The Peoples Trust Bank,10372
288,0,Raphine,,VA,One Valley Bank - Shenandoah,10373
289,0,Birnamwood,WWW.BANNERBANKS.COM,WI,Banner Banks,10374
290,0,Dorchester,,WI,Advantage Community Bank,10375
