,CHARTER,CITY,WEBADDR,STNAME,NAME,ID
242,22567,Nashville,,Tennessee,"NationsBank of Tennessee, National Association",10313
243,0,Halls,www.bankofhalls.com,Tennessee,Bank of Halls,10315
244,0,Medina,,Tennessee,Medina Banking Co.,10316
245,0,Rutledge,www.cbtgrainger.com,Tennessee,Citizens Bank and Trust Company of Grainger County,10317
246,0,Sevierville,,Tennessee,Sevier County Bank,10318
247,0,Nashville,www.bankcbn.com,Tennessee,Citizens Savings Bank and Trust Company,10319
248,16009,Little Rock,,Arkansas,Boatmen's National Bank of Arkansas,1032
249,0,Oakland,,Tennessee,Oakland Deposit Bank,10320
250,18103,Sevierville,,Tennessee,Third National Bank in Sevier County,10322
251,0,Murfreesboro,,Tennessee,Mid-South Bank & Trust Company,10324
252,0,White Bluff,,Tennessee,Farmers & Merchants Bank,10325
253,0,Alice,,Texas,"Norwest Bank Texas, Alice",10326
254,0,Luling,www.csbsa.com,Texas,Citizens State Bank of Luling,10327
255,16272,Russellville,,Arkansas,First National Bank of Russellville,1033
256,0,Palmer,www.csbpalmer.com,Texas,Commercial State Bank,10330
257,0,Willis,,Texas,Citadel Bank,10331
258,0,Bishop,,Texas,The First State Bank,10333
259,0,Dallas,,Texas,Oakwood Bank,10334
260,0,Rosenberg,,Texas,Rosenberg Bank and Trust,10335
261,22583,New Waverly,,Texas,"Citizens Bank of Texas, National Association",10336
262,18780,Russellville,,Arkansas,Boatmen's National Bank of Russellville,1034
263,0,Schertz,www.schertzbank.com,Texas,Schertz Bank & Trust,10344
264,0,Shepherd,www.psbtexas.com,Texas,Peoples State Bank,10345
265,0,La Grange,,Texas,State Bank,10346
266,0,Taft,,Texas,The First State Bank of Taft,10347
267,0,Denton,,Texas,First State Bank of Texas,10348
268,0,La Vernia,,Texas,The State Bank of La Vernia,10349
269,24553,Waldron,,Arkansas,First National Bank,1035
270,0,Bay City,,Texas,Bay City Bank & Trust Co.,10350
271,0,Crowell,crowellstatebank.com,Texas,Crowell State Bank,10352
272,0,Ladonia,,Texas,Farmers & Merchants State Bank,10354
273,0,Hearne,,Texas,Planters & Merchants State Bank,10355
274,0,Celina,,Texas,The First State Bank,10356
275,0,Humble,,Texas,First City Bank of Humble,10357
276,0,Happy,,Texas,Happy State Bank,10359
277,0,Breese,,Illinois,State Bank of Breese,1036
278,0,Dallas,,Texas,First State Bank of North Texas,10360
279,0,Alamo,,Texas,Alamo Bank of Texas,10361
280,0,Onley,,Virginia,Farmers & Merchants Bank - Eastern Shore,10362
281,0,West Point,www.cffc.com,Virginia,Citizens and Farmers Bank,10363
282,15492,Bluefield,,Virginia,Southwest Virginia National Bank,10367
283,0,Mathews,,Virginia,Farmers Bank of Mathews,10369
284,0,Chester,,Illinois,First Bank,1037
285,0,Rocky Mount,,Virginia,Bankers Trust Company,10370
286,0,Eastville,,Virginia,The Eastville Bank,10371
287,0,Exmore,,Virginia,The Peoples Trust Bank,10372
288,0,Raphine,,Virginia,One Valley Bank - Shenandoah,10373
289,0,Birnamwood,WWW.BANNERBANKS.COM,Wisconsin,Banner Banks,10374
290,0,Dorchester,,Wisconsin,Advantage Community Bank,10375
291,0,Hammond,,Wisconsin,Hammond State Bank,10376
292,0,New Glarus,www.thebankofnewglarus.bank,Wisconsin,The Bank of New Glarus,10378
293,0,Newton,,Wisconsin,Newton State Bank,10379
294,0,Swansea,,Illinois,Union Bank of Illinois,1038
295,0,Oostburg,www.oostburgstate.bank,Wisconsin,Oostburg State Bank,10380
296,0,Cambridge,,Wisconsin,M&I Bank of Cambridge,10381
297,0,Marinette,http://www.fmmarinette.com,Wisconsin,Farmers & Merchants Bank & Trust,10382
298,0,La Crosse,www.statebankfinancial.bank,Wisconsin,State Bank Financial,10383
299,0,Waumandee,http://www.waumandeebank.com,Wisconsin,Waumandee State Bank,10384
300,0,Edwardsville,,Illinois,The Bank of Edwardsville,1039
301,0,Alma,,Arkansas,Commercial Bank at Alma,104
302,0,Effingham,www.midlandsb.com,Illinois,Midland States Bank,1040
303,0,Brush,www.fsbbrushakron.com,Colorado,The Farmers State Bank of Brush,10407
304,0,Eldorado,,Illinois,"C. P. Burnett & Sons, Bankers",1041
305,0,Estes Park,,Colorado,United Valley Bank,10411
306,0,Lamar,,Colorado,Valley State Bank,10412
307,0,Pagosa Springs,,Colorado,"The Citizens Bank of Pagosa Springs, Colorado",10413
308,0,Yuma,,Colorado,Farmers State Bank of Yuma,10417
309,0,New London,,Connecticut,The Winthrop Bank and Trust Company,10418
310,14407,Greenville,,Illinois,First Bank and Trust Company in Greenville,1042
311,22435,Springfield,,Massachusetts,"Fleet Bank, National Association",10424
312,0,Hartford,,Connecticut,The Guaranty Bank and Trust Company,10425
313,0,Jewett City,,Connecticut,The Jewett City Trust Company,10426
314,14387,Mt. Vernon,,Illinois,"Citizens Bank of Illinois, National Association",1043
315,0,Cropsey,,Illinois,Citizens State Bank of Cropsey,10430
316,0,Dix,,Illinois,First State Bank of Dix,10432
317,0,Girard,,Illinois,State Bank of Girard,10433
318,0,Graymont,www.sbofgray.com,Illinois,State Bank of Graymont,10434
319,0,Hull,,Illinois,Omni Bank,10435
320,0,Manito,,Illinois,People's State Bank,10436
321,0,Olmsted,www.firststatebank-olmsted.com,Illinois,First State Bank of Olmsted,10437
322,0,Raritan,www.raritanstatebank.com,Illinois,Raritan State Bank,10438
323,0,Saint Libory,,Illinois,The Village Bank,10439
324,14509,Hillsboro,,Illinois,County National Bank,1044
325,0,Aurora,,Illinois,Benchmark Bank,10440
326,0,Villa Park,,Illinois,Villa Park Trust & Savings Bank,10441
327,0,Collinsville,,Illinois,United Illinois Bank of Collinsville,10442
328,0,Bowen,,Illinois,Bowen State Bank,10443
329,0,Bradley,,Illinois,Bradley Bank,10444
330,0,Paxton,www.tfcbanks.com,Illinois,"Frederick Community Bank, The",10446
331,0,Ashton,,Illinois,"AMCORE Bank, Ashton-Rochelle",10447
332,0,Chicago,,Illinois,Hyde Park Bank and Trust Company,10448
333,0,Cornland,,Illinois,State Bank of Cornland,10449
334,0,Hoyleton,,Illinois,Hoyleton State and Savings Bank,1045
335,0,Moline,,Illinois,Valley Bank,10450
336,0,Plainfield,,Illinois,NLSB,10451
337,0,Zion,,Illinois,First of America Bank - Zion,10452
338,0,Lewistown,,Illinois,Farmers State Bank of Lewistown,10454
339,0,Mokena,,Illinois,Mokena State Bank,10457
340,0,Mount Sterling,www.fsb-tc.com,Illinois,Farmers State Bank & Trust Co.,10458
341,0,Princeton,,Illinois,"AMCORE Bank, Princeton",10459
342,0,Jacksonville,,Illinois,Elliott State Bank,1046
343,0,Quincy,www.tcbankmidwest.com,Illinois,Town & Country Bank Midwest,10460
344,0,Richmond,,Illinois,State Financial Bank,10461
345,0,Middletown,http://middletownstatebank.com,Illinois,Middletown State Bank,10463
346,0,Onarga,www.federatedbank.com,Illinois,Federated Bank,10464
347,0,Depue,,Illinois,Heritage Bank of Bureau County,10466
348,0,Gifford,www.giffordbank.com,Illinois,The Gifford State Bank,10467
349,0,Golden,,Illinois,Golden State Bank,10468
350,0,Hutsonville,,Illinois,Farmers & Merchants Bank of Hutsonville,10469
351,0,Litchfield,www.banktr.com,Illinois,Bank & Trust Company,1047
352,0,Camp Grove,www.campgrovestatebank.com,Illinois,Camp Grove State Bank,10471
